id	inclusion_class	rationale
compute/struct-make.slang#discovery-1	baseline-tag-representative	Aggregate construction and pointer transport.
compute/inout.slang#discovery-1	baseline-tag-representative	Aggregate inout transport across an ordinary helper.
bugs/array-of-array-in-sb.slang#discovery-1	baseline-tag-representative	Nested aggregate storage combined with structured resources.
bugs/byte-address-buffer-interlocked-add-f32.slang#discovery-1	baseline-tag-representative	Floating atomic operation combined with byte-address resources.
bugs/nested-switch-continue-in-loop.slang#discovery-1	baseline-tag-representative	Nested switch and continue control flow.
compute/ssa-reduce-bug.slang#discovery-1	baseline-tag-representative	Control flow combined with aggregate pointer state.
bugs/mutating/mutating-call-in-loop-dce.slang#discovery-1	baseline-tag-representative	Mutating helper calls inside optimized loops.
ir/loop-inversion.slang#discovery-1	baseline-tag-representative	Large loop-control-flow and optimization gate.
compute/multi-interface.slang#discovery-1	baseline-tag-representative	Ordinary generic helper graph with multiple interfaces.
language-feature/dynamic-dispatch/dynamic-func-dynamic-output-2.slang#discovery-1	baseline-tag-representative	Dynamic helper dispatch with aggregate output transport.
language-feature/dynamic-dispatch/many-impls.slang#discovery-1	baseline-tag-representative	Many dynamic implementations with aggregate control flow.
language-feature/dynamic-dispatch/missing-anyvaluesize-mixed-self-ref.slang#discovery-1	baseline-tag-representative	Large self-referential dynamic graph with aggregate payloads.
language-feature/dynamic-dispatch/dispatch-many-conformances.slang#discovery-1	baseline-tag-representative	Dynamic helper dispatch across many conformances and branches.
compute/generic-diamond-pattern-2.slang#discovery-1	baseline-tag-representative	Large diamond-shaped generic call graph.
language-feature/dynamic-dispatch/derived-interface.slang#discovery-1	baseline-tag-representative	Matrix values in derived-interface control flow.
language-feature/generics/generic-arithmetic-coerce.slang#discovery-1	baseline-tag-representative	Large generic arithmetic and matrix coercion graph.
bugs/matrix-divided-by-scalar.slang#discovery-1	baseline-tag-representative	Ordinary matrix layout and scalar arithmetic.
language-feature/anyvalue-matrix-layout.slang#discovery-1	baseline-tag-representative	AnyValue aggregate transport with matrix layout.
bugs/generic-default-matrix.slang#discovery-1	baseline-tag-representative	Generic helper operations over default-layout matrices.
bugs/empty-struct-parameter-block.slang#discovery-1	baseline-tag-representative	Large parameter-block layout with aggregate pointers.
language-feature/dynamic-dispatch/constantbuffer-struct-interface-field.slang#discovery-1	baseline-tag-representative	Constant-buffer layout with interface-bearing helper data.
language-feature/dynamic-dispatch/constantbuffer-struct-interface-array.slang#discovery-1	baseline-tag-representative	Constant-buffer interface arrays and aggregate pointers.
bugs/addr-scope-fix.slang#discovery-1	baseline-tag-representative	Shared memory, barriers, and aggregate pointer scope.
bindings/nested-parameter-block-2.slang#discovery-1	newly-unlocked-invariant	Recursive parameter-group field and loaded-value transport.
bugs/array-size-groupshared.slang#discovery-1	newly-unlocked-invariant	Canonical group-shared fixed-array storage.
bugs/generic-groupshared.slang#discovery-1	newly-unlocked-invariant	Generic group-shared fixed-array storage.
bugs/gh-6657-bindless-uniform.slang#discovery-1	newly-unlocked-invariant	Descriptor-handle representation inside structured storage.
compute/cbuffer-legalize.slang#discovery-1	newly-unlocked-invariant	Loaded constant-buffer value used through a helper.
compute/pointer-emit.slang#discovery-1	newly-unlocked-invariant	Composable local array-element and struct-field addresses.
language-feature/dynamic-dispatch/anyvalue-bulk-copy.slang#discovery-1	newly-unlocked-invariant	UInt64 word reconstruction in a large AnyValue graph.
language-feature/dynamic-dispatch/array-of-interfaces-interproc.slang#discovery-1	newly-unlocked-invariant	Existential specialization across an interprocedural call graph.
language-feature/generics/generic-shader-object-cbuffer.slang#discovery-1	newly-unlocked-invariant	Generic loaded constant-buffer resource graph.
