id	source	selection_tags	selection_rationale	native_reference_healthy	nvrtc-o3_classification	nvrtc-o3_elapsed_ms	nvrtc-o3_exact_shape	nvrtc-o3_cluster	nvrtc-o3_producer	nvrtc-o3_diagnostic	nvrtc-o3_log	nvvm-o0_classification	nvvm-o0_elapsed_ms	nvvm-o0_exact_shape	nvvm-o0_cluster	nvvm-o0_producer	nvvm-o0_diagnostic	nvvm-o0_log	nvvm-o3_classification	nvvm-o3_elapsed_ms	nvvm-o3_exact_shape	nvvm-o3_cluster	nvvm-o3_producer	nvvm-o3_diagnostic	nvvm-o3_log
bindings/nested-parameter-block-2.slang#discovery-1	bindings/nested-parameter-block-2.slang	parameter-layout,aggregate-pointer	Nested parameter blocks and aggregate transport.	true	correct	6804					build/nvvm-discovery/slice180/logs/nvrtc-o3/2fc7cff967ac0d60bfae45cef178bc17be5e008f.log	correct	6808					build/nvvm-discovery/slice180/logs/nvvm-o0/20bc6cd86988bc131eebaa408a60073a77fd751a.log	correct	6256					build/nvvm-discovery/slice180/logs/nvvm-o3/b40a210ae0b28ae19a9b5316f8041c211a89792a.log
bindings/nested-parameter-block-3.slang#discovery-1	bindings/nested-parameter-block-3.slang	parameter-layout,aggregate-pointer	Deeper nested parameter-block layout.	true	correct	6457					build/nvvm-discovery/slice180/logs/nvrtc-o3/724094caffd2d352643881f7fd6cf4b5ae874567.log	correct	6373					build/nvvm-discovery/slice180/logs/nvvm-o0/ff370db0d2c9a38797cc29ca5ba54314154ef084.log	correct	6408					build/nvvm-discovery/slice180/logs/nvvm-o3/f77a65fa1baf2d890ee1fb200b09b271321788f0.log
bugs/addr-scope-fix.slang#discovery-1	bugs/addr-scope-fix.slang	shared-barrier,aggregate-pointer	Address scopes and groupshared lifetime.	true	correct	5625					build/nvvm-discovery/slice180/logs/nvrtc-o3/f2a394c20370d1ac6b2e4640a8baf09f80da39ca.log	correct	5394					build/nvvm-discovery/slice180/logs/nvvm-o0/ef961d42cfc69e1edefb2440f11fe613bc5b84c6.log	correct	5492					build/nvvm-discovery/slice180/logs/nvvm-o3/19203361618e36a1090b36b3384d07ad7ac0fc87.log
bugs/array-of-array-in-sb.slang#discovery-1	bugs/array-of-array-in-sb.slang	aggregate-pointer,mixed-resources	Nested arrays in structured-buffer storage.	true	correct	5777					build/nvvm-discovery/slice180/logs/nvrtc-o3/21dac6acc3bc0ae5a99e044fc821a17dc01b6c9e.log	correct	5506					build/nvvm-discovery/slice180/logs/nvvm-o0/16d5f4310ca66fafd37f5e034817f0e2a35ef468.log	correct	5489					build/nvvm-discovery/slice180/logs/nvvm-o3/b13e01cc1a9d433537ac26810d4bcaecc2ab0175.log
bugs/array-size-groupshared.slang#discovery-1	bugs/array-size-groupshared.slang	shared-barrier,helper-generic,control-flow	Generic array sizing in groupshared storage.	true	correct	5731					build/nvvm-discovery/slice180/logs/nvrtc-o3/95a54410e4256295b66eb715fe97a9085cda17b0.log	correct	5671					build/nvvm-discovery/slice180/logs/nvvm-o0/d0d524909bfad3ada9e9eedc056037ff38033768.log	correct	5498					build/nvvm-discovery/slice180/logs/nvvm-o3/45c0bdacff07f1607cce09ffb05002244a12fbbe.log
bugs/atomic-coerce.slang#discovery-1	bugs/atomic-coerce.slang	atomic-wave,mixed-resources	Atomic operand coercion on a buffer.	true	correct	5489					build/nvvm-discovery/slice180/logs/nvrtc-o3/6c85d4da03ca74117d62b46a5a559a2608573d00.log	correct	5527					build/nvvm-discovery/slice180/logs/nvvm-o0/2b04d409cd36c9258e66bf5a386e86c39d749d52.log	correct	5450					build/nvvm-discovery/slice180/logs/nvvm-o3/8f18f0a681fb944b1fd109aa2179dfd6f23831c0.log
bugs/byte-address-buffer-interlocked-add-f32.slang#discovery-1	bugs/byte-address-buffer-interlocked-add-f32.slang	atomic-wave,mixed-resources	Floating atomic on byte-address storage.	true	correct	5690					build/nvvm-discovery/slice180/logs/nvrtc-o3/3dec1828c77ee5b6139f6bbadd2d82d6b7e2ca46.log	correct	5690					build/nvvm-discovery/slice180/logs/nvvm-o0/4fbf2e103ab0bd89778f8006f38c64f47af3a480.log	correct	5485					build/nvvm-discovery/slice180/logs/nvvm-o3/60227c8219eb2fc87102451e679406caf3802407.log
bugs/empty-struct-parameter-block.slang#discovery-1	bugs/empty-struct-parameter-block.slang	parameter-layout,aggregate-pointer,large	Empty aggregate inside a parameter-block layout.	true	correct	6469					build/nvvm-discovery/slice180/logs/nvrtc-o3/461a92a7349c7aaaa2a1f73fbde35cc06789c809.log	correct	5944					build/nvvm-discovery/slice180/logs/nvvm-o0/2166ce0083e3a4828dd80d1b272b90e53e951b39.log	correct	6140					build/nvvm-discovery/slice180/logs/nvvm-o3/f43510bae2e5600f5e4cf7605bb1c1805dacfc20.log
bugs/force-inline-array.slang#discovery-1	bugs/force-inline-array.slang	aggregate-pointer,control-flow	Forced-inline array transport through control flow.	true	correct	5642					build/nvvm-discovery/slice180/logs/nvrtc-o3/7ccaf9aee35f7765f5e9412a64df24db85c22160.log	correct	5593					build/nvvm-discovery/slice180/logs/nvvm-o0/02a225041bf96723daeaf858e4b5936f14e43f01.log	correct	5561					build/nvvm-discovery/slice180/logs/nvvm-o3/e042e7e7df26b09acb009db6fb49e5d227b3f6f1.log
bugs/generic-default-matrix.slang#discovery-1	bugs/generic-default-matrix.slang	matrix-layout,helper-generic	Generic default matrix transport.	true	correct	5617					build/nvvm-discovery/slice180/logs/nvrtc-o3/9c84cc797fba689fea0f6f08062351078d600d6b.log	correct	5278					build/nvvm-discovery/slice180/logs/nvvm-o0/16075350a4697c07d23fbc7387df14dff575b70f.log	correct	5509					build/nvvm-discovery/slice180/logs/nvvm-o3/ce272eef444f36e7ec08c5575dd7611fe968a431.log
